"Degeneracy"	"CorrectBehaviour"	"FailedBehaviour"	"RecoveredBehaviour"	"AvgRelearningCycles"	"DeadFields"
80	100	0	NA	0	0
80.5	100	0	NA	0	0
81	100	0	NA	0	0
81.5	100	0	NA	0	0
82	100	0	NA	0	0
82.5	100	0	NA	0	0
83	100	0	NA	0	0
83.5	100	0	NA	0	0
84	100	0	NA	0	0
84.5	100	0	NA	0	0
85	100	0	NA	0	0
85.5	100	0	NA	0	0
86	100	0	NA	0	0
86.5	100	0	NA	0	0
87	100	0	NA	0	0
87.5	100	0	NA	0	0
88	100	0	NA	0	0
88.5	100	0	NA	0	0
89	100	0	NA	0	0
89.5	99.3150684931507	0.684931506849315	100	0.00684931506849315	0
90	99.3150684931507	0.684931506849315	100	0.00684931506849315	0
90.5	98.6301369863014	1.36986301369863	100	0.0136986301369863	0
91	96.5753424657534	3.42465753424658	100	0.0342465753424658	0
91.5	89.7260273972603	10.2739726027397	100	0.102739726027397	0
92	74.6575342465753	25.3424657534247	100	0.253424657534247	0
92.5	51.3698630136986	48.6301369863014	100	0.486301369863014	0
93	31.5068493150685	68.4931506849315	100	0.691780821917808	0
93.5	12.3287671232877	87.6712328767123	100	0.876712328767123	0
94	4.10958904109589	95.8904109589041	100	0.993150684931507	0
94.5	0.684931506849315	99.3150684931507	100	1.12328767123288	0
95	0	100	100	1.47945205479452	0
95.5	0	100	100	1.86986301369863	0
96	0	100	100	2.28082191780822	0
96.5	0	100	100	2.92465753424658	0
97	0	100	100	3.81506849315068	0
97.5	0	100	100	5.17808219178082	0
98	0	100	100	7.79452054794521	0
98.5	0	100	100	13.7123287671233	0
99	0	100	100	27.9794520547945	0
99.5	0	100	0	NA	0
